trainId,trainName,srccity,srcstate,descity,desstate,railwayZone,totalSeatingCapacity
12345,Rajdhani Express,Delhi,Delhi,Kolkata,West Bengal,Eastern Railway,1200
23456,Shatabdi Express,Mumbai,Maharashtra,Chennai,Tamil Nadu,Southern Railway,900
34567,Duronto Express,Kolkata,West Bengal,Mumbai,Maharashtra,Central Railway,1500
45678,Jan Shatabdi,Chennai,Tamil Nadu,Bengaluru,Karnataka,South Western Railway,1100
56789,Garib Rath,Bengaluru,Karnataka,Hyderabad,Telangana,South Central Railway,1000
67890,Sampark Kranti,Hyderabad,Telangana,Ahmedabad,Gujarat,Western Railway,800
78901,Humsafar Express,Pune,Maharashtra,Bhopal,Madhya Pradesh,West Central Railway,950
89012,Tejas Express,Ahmedabad,Gujarat,Patna,Bihar,East Central Railway,1050
90123,Gatimaan Express,Jaipur,Rajasthan,Lucknow,Uttar Pradesh,Northern Railway,1300
12346,Antyodaya Express,Lucknow,Uttar Pradesh,Delhi,Delhi,Northern Railway,1400
23457,Uday Express,Bhopal,Madhya Pradesh,Jaipur,Rajasthan,North Western Railway,1150
34568,Vande Bharat,Patna,Bihar,Guwahati,Assam,Northeast Frontier Railway,920
45679,Mahamana Express,Chandigarh,Chandigarh,Ranchi,Jharkhand,South Eastern Railway,850
56790,Superfast Express,Guwahati,Assam,Shimla,Himachal Pradesh,Northern Railway,1100
67891,Express,Ranchi,Jharkhand,Srinagar,Jammu and Kashmir,Northern Railway,975
78902,Passenger,Shimla,Himachal Pradesh,Aizawl,Mizoram,Northeast Frontier Railway,850
89013,Intercity Express,Srinagar,Jammu and Kashmir,Itanagar,Arunachal Pradesh,Northeast Frontier Railway,950
90124,Local,Aizawl,Mizoram,Dispur,Assam,Northeast Frontier Railway,1050
12347,Memu,Itanagar,Arunachal Pradesh,Shillong,Kerala,Southern Railway,950
23458,Demu,Dispur,Assam,Trivandrum,Bihar,East Central Railway,1000
34569,Rajdhani Express,Gandhinagar,Gujarat,Nalanda,Haryana,Northern Railway,800
45680,Shatabdi Express,Shillong,Meghalaya,Faridabad,Jammu and Kashmir,Northern Railway,1100
56791,Duronto Express,Trivandrum,Kerala,Jammu,Tamil Nadu,Southern Railway,900
67892,Jan Shatabdi,Nalanda,Bihar,Madurai,Chhattisgarh,South East Central Railway,850
78903,Garib Rath,Faridabad,Haryana,Bhilai,Goa,Konkan Railway,800
89014,Sampark Kranti,Jammu,Jammu and Kashmir,Mapusa,Andhra Pradesh,South Central Railway,1000
90125,Humsafar Express,Madurai,Tamil Nadu,Vijayawada,Arunachal Pradesh,North East Frontier Railway,950
12348,Tejas Express,Bhilai,Chhattisgarh,Tezu,Sikkim,North East Frontier Railway,900
23459,Gatimaan Express,Mapusa,Goa,Gangtok,Andaman and Nicobar Islands,Northeast Frontier Railway,1100
34570,Antyodaya Express,Vijayawada,Andhra Pradesh,Port Blair,Puducherry,South Eastern Railway,850
45681,Uday Express,Tezu,Arunachal Pradesh,Puducherry,Lakshadweep,Southern Railway,875
56792,Vande Bharat,Gangtok,Sikkim,Kavaratti,Dadra and Nagar Haveli,Western Railway,925
67893,Mahamana Express,Port Blair,Andaman and Nicobar Islands,Silvassa,Daman and Diu,Western Railway,975
78904,Superfast Express,Puducherry,Puducherry,Daman,Uttar Pradesh,Western Railway,950
89015,Express,Kavaratti,Lakshadweep,Agra,Uttar Pradesh,Northern Railway,850
90126,Passenger,Silvassa,Dadra and Nagar Haveli,Varanasi,Gujarat,North Central Railway,925
12349,Intercity Express,Daman,Daman and Diu,Surat,Tamil Nadu,Western Railway,875
23460,Local,Agra,Uttar Pradesh,Coimbatore,Maharashtra,Southern Railway,1000
34571,Memu,Varanasi,Uttar Pradesh,Nagpur,Punjab,Central Railway,950
45682,Demu,Surat,Gujarat,Aurangabad,Jharkhand,Western Railway,925
56793,Rajdhani Express,Coimbatore,Tamil Nadu,Amritsar,Gujarat,South Eastern Railway,900
67894,Shatabdi Express,Nagpur,Maharashtra,Jamshedpur,Karnataka,East Coast Railway,950
78905,Duronto Express,Aurangabad,Maharashtra,Rajkot,Uttar Pradesh,South Western Railway,1000
89016,Jan Shatabdi,Amritsar,Punjab,Mysore,Rajasthan,South Western Railway,950
90127,Garib Rath,Jamshedpur,Jharkhand,Allahabad,Rajasthan,Western Railway,900
12350,Sampark Kranti,Rajkot,Gujarat,Udaipur,Rajasthan,North Western Railway,800
23461,Humsafar Express,Mysore,Karnataka,Jodhpur,West Bengal,North Western Railway,950
34572,Tejas Express,Allahabad,Uttar Pradesh,Kolkata,Tamil Nadu,North Western Railway,1100
45683,Gatimaan Express,Udaipur,Rajasthan,Chennai,Karnataka,Eastern Railway,875
56794,Antyodaya Express,Jodhpur,Rajasthan,Mangalore,Kerala,Southern Railway,1200
67895,Garuda Express,Delhi,Delhi,Thiruvananthapuram,Uttar Pradesh,South Central Railway,1200
78906,Karnataka Express,Mumbai,Maharashtra,Agra,Uttar Pradesh,North East Frontier Railway,900
89017,Deccan Queen,Kolkata,West Bengal,Mysore,Kerala,North East Frontier Railway,1500
90128,Pushpak Express,Chennai,Tamil Nadu,Guwahati,Andhra Pradesh,Northeast Frontier Railway,1100
12351,Mahakoshal Express,Bengaluru,Karnataka,Varanasi,Madhya Pradesh,South Eastern Railway,1000
23462,Vaigai Express,Hyderabad,Telangana,Kochi,Uttar Pradesh,Southern Railway,800
34573,Malwa Express,Pune,Maharashtra,Visakhapatnam,Andhra Pradesh,Western Railway,950
45684,Pawan Express,Ahmedabad,Gujarat,Jabalpur,Madhya Pradesh,Western Railway,1050
56795,Godavari Express,Jaipur,Rajasthan,Allahabad,Uttar Pradesh,Western Railway,1300
67896,Telangana Express,Lucknow,Uttar Pradesh,Kanpur,Uttar Pradesh,Northern Railway,1400
78907,Chennai Express,Bhopal,Madhya Pradesh,Coimbatore,Tamil Nadu,North Central Railway,1150
89018,Mumbai Mail,Patna,Bihar,Nashik,Maharashtra,Western Railway,920
90129,Ganga Sagar Express,Chandigarh,Chandigarh,Rajahmundry,Andhra Pradesh,Southern Railway,850
